symbol,name,sector,industry,market_cap
A,"Agilent Technologies, Inc.",Health Care,Biotechnology,Large Cap
AA,Alcoa Corporation,Materials,Metals & Mining,Large Cap
AAL,American Airlines Group Inc.,Industrials,Airlines,Mid Cap
AAOI,"Applied Optoelectronics, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
AAON,"AAON, Inc.",Industrials,Building Products,Mid Cap
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Specialty Retail,Mid Cap
AAPL,Apple Inc.,Information Technology,"Electronic Equipment, Instruments & Components",Mega Cap
ABAT,American Battery Technology Company Common Stock,Materials,Metals & Mining,Small Cap
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,Mega Cap
ABG,Asbury Automotive Group Inc,Consumer Discretionary,Automobiles,Mid Cap
ABM,ABM Industries Incorporated,Industrials,Professional Services,Mid Cap
ABNB,"Airbnb, Inc. Class A",Communication Services,Diversified Telecommunication Services,Large Cap
ABSI,Absci Corporation Common Stock,Health Care,Biotechnology,Small Cap
ABT,Abbott Laboratories,Health Care,Health Care Technology,Mega Cap
ABTC,American Bitcoin Corp. Class A Common Stock,Information Technology,Software,Small Cap
ABUS,Arbutus Biopharma Corporation,Health Care,Biotechnology,Small Cap
ACA,"Arcosa, Inc.",Industrials,Transportation Infrastructure,Mid Cap
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Biotechnology,Mid Cap
ACCO,ACCO Brands Corporation,Industrials,Commercial Services & Supplies,Small Cap
ACDC,ProFrac Holding Corp. Class A Common Stock,Energy,Energy Equipment & Services,Small Cap
ACEL,"Accel Entertainment, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Health Care Equipment & Supplies,Mid Cap
ACHR,Archer Aviation Inc. Class A Common Stock,Industrials,Aerospace & Defense,Mid Cap
ACI,"Albertsons Companies, Inc. Class A",Consumer Staples,Food & Staples Retailing,Mid Cap
ACIW,"ACI Worldwide, Inc.",Information Technology,Software,Mid Cap
ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
ACM,AECOM,Industrials,Construction & Engineering,Large Cap
ACMR,"ACM Research, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Biotechnology,Small Cap
ACTG,Acacia Research Corporation,Industrials,Professional Services,Small Cap
ACVA,ACV Auctions Inc.,Information Technology,Software,Small Cap
AD,Array Digital Infrastructure Inc. Common Shares,Communication Services,Diversified Telecommunication Services,Mid Cap
ADAM,Adamas Trust Inc. Common Stock,Information Technology,Software,Small Cap
ADBE,Adobe Inc.,Information Technology,Software,Large Cap
ADEA,Adeia Inc. Common Stock,Information Technology,Software,Mid Cap
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Large Cap
ADM,Archer-Daniels-Midland Company,Consumer Staples,Household Products,Large Cap
ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology,Mid Cap
ADP,"Automatic Data Processing, Inc.",Industrials,Professional Services,Large Cap
ADPT,Adaptive Biotechnologies Corp.,Health Care,Biotechnology,Mid Cap
ADSK,"Autodesk, Inc.",Information Technology,Software,Large Cap
ADT,ADT Inc.,Industrials,Professional Services,Mid Cap
ADTN,"ADTRAN, Inc.",Information Technology,Communications Equipment,Small Cap
ADUS,Addus HomeCare Corporation,Health Care,Health Care Equipment & Supplies,Small Cap
AEGN,Aegion Corporation,Industrials,Construction & Engineering,Small Cap
AEHR,Aehr Test Systems,Information Technology,Semiconductors & Semiconductor Equipment,Small Cap
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment,Large Cap
AEO,"American Eagle Outfitters, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Mid Cap
AESI,Atlas Energy Solutions Inc. Class A Common Stock,Energy,Energy Equipment & Services,Small Cap
AEVA,"Aeva Technologies, Inc.",Consumer Discretionary,Auto Components,Small Cap
AFRM,"Affirm Holdings, Inc.",Information Technology,IT Services,Large Cap
AGCO,AGCO Corporation,Industrials,Machinery,Mid Cap
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Biotechnology,Small Cap
AGNCZ,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,,,Large Cap
AGX,"Argan, Inc.",Industrials,Construction & Engineering,Mid Cap
AGYS,"Agilysys, Inc.",Information Technology,Software,Mid Cap
AHCO,AdaptHealth Corp.,Health Care,Health Care Technology,Small Cap
AI,"C3.ai, Inc.",Information Technology,IT Services,Small Cap
AIAI,AIAI Holdings Corporation Class A Common Stock,Information Technology,Software,Small Cap
AIN,Albany International Corp.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Small Cap
AIOT,PowerFleet Inc. Common Stock,Communication Services,Diversified Telecommunication Services,Small Cap
AIP,Arteris Inc. Common Stock,Information Technology,Semiconductors & Semiconductor Equipment,Small Cap
AIR,AAR Corp.,Industrials,Aerospace & Defense,Mid Cap
AIT,"Applied Industrial Technologies, Inc.",Industrials,Trading Companies & Distributors,Large Cap
AKAM,"Akamai Technologies, Inc.",Information Technology,Software,Large Cap
AKBA,"Akebia Therapeutics, Inc.",Health Care,Biotechnology,Small Cap
AKTS,"Aktis Oncology, Inc.",Information Technology,Communications Equipment,Small Cap
ALAB,Astera Labs Inc. Common Stock,Information Technology,Semiconductors & Semiconductor Equipment,Large Cap
ALB,Albemarle Corporation,Materials,Chemicals,Large Cap
ALCO,"Alico, Inc.",Consumer Staples,Household Products,Small Cap
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Biotechnology,Small Cap
ALG,Alamo Group Inc.,Industrials,Machinery,Mid Cap
ALGM,"Allegro MicroSystems, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
ALGN,"Align Technology, Inc.",Health Care,Health Care Technology,Large Cap
ALGT,Allegiant Travel Company,Industrials,Airlines,Small Cap
ALHC,"Alignment Healthcare, Inc.",Health Care,Health Care Providers & Services,Mid Cap
