Date,AMD,ANET,AVGO,AXON,CCJ,CLS,COST,CRWD,DX-Y.NYB,GOOGL,HYG,IEF,IONQ,IWM,JNJ,KO,MCD,META,MNST,MSFT,NVDA,PEP,PG,PLTR,QQQ,RKLB,SMR,SPY,TSM,VRT,VST,WMT,^GSPC,^IRX,^VIX
2015-01-02,0.0,5928000.0,13500000.0,2273500.0,1139600.0,278500.0,1471000.0,,0.0,26480000.0,3271900.0,2028600.0,,46133100.0,5753600.0,9921100.0,6019700.0,18177500.0,7845600.0,27913900.0,113680000.0,3545700.0,7251400.0,,31314600.0,,,121465900.0,6074100.0,,,13505400.0,2708700000.0,0.0,0.0
2015-01-05,8878200.0,7505600.0,15596000.0,2443600.0,1905800.0,199300.0,1748500.0,,0.0,41182000.0,7523100.0,1521700.0,,51141900.0,8079300.0,26292600.0,6211900.0,26452200.0,13029600.0,39673900.0,197952000.0,6441000.0,8626100.0,,36521300.0,,,169632600.0,9031800.0,,,20937000.0,3799120000.0,0.0,0.0
2015-01-06,13912500.0,5769600.0,22194000.0,3444900.0,1445300.0,336300.0,3185200.0,,0.0,54456000.0,9489700.0,1890200.0,,67446000.0,7428000.0,16897500.0,6484100.0,27399300.0,23097600.0,36447900.0,197764000.0,6195000.0,7791200.0,,66205500.0,,,209151400.0,10169500.0,,,24615300.0,4460110000.0,0.0,0.0
2015-01-07,12377600.0,6560000.0,30907000.0,1646700.0,1209200.0,195500.0,2171600.0,,0.0,46918000.0,8353100.0,1558000.0,,32252100.0,7931700.0,13412300.0,6400300.0,22045300.0,18237600.0,29114100.0,321808000.0,6526300.0,5986600.0,,37577400.0,,,125346700.0,10180200.0,,,25495200.0,3805480000.0,0.0,0.0
2015-01-08,11136600.0,7592000.0,33265000.0,2391200.0,1743900.0,235200.0,2937700.0,,0.0,73054000.0,8388600.0,1671000.0,,28361700.0,9916000.0,21743600.0,5476700.0,23961000.0,18096000.0,29645200.0,283780000.0,7131600.0,6823300.0,,40212600.0,,,147217800.0,15825900.0,,,38140800.0,3934010000.0,0.0,0.0
2015-01-09,8907600.0,4044800.0,23432000.0,1445500.0,1459000.0,176500.0,1727000.0,,0.0,42000000.0,6766700.0,1107800.0,,26975200.0,7364800.0,12733500.0,4283300.0,21157000.0,12436800.0,23944200.0,209540000.0,4061500.0,4872800.0,,41410100.0,,,158567300.0,17596000.0,,,25567500.0,3364140000.0,0.0,0.0
2015-01-12,9979600.0,6982400.0,18692000.0,1206500.0,1582000.0,402500.0,1344800.0,,0.0,57138000.0,8698500.0,2700900.0,,27316800.0,6839000.0,11415800.0,3989600.0,19190200.0,30708000.0,23651900.0,190732000.0,4192700.0,5250900.0,,34129800.0,,,144396100.0,24695300.0,,,22117500.0,3456460000.0,0.0,0.0
2015-01-13,17907400.0,9892800.0,24337000.0,2214300.0,3855700.0,352800.0,2198500.0,,0.0,60958000.0,7738700.0,1038800.0,,49991400.0,10151100.0,12529500.0,5971200.0,25179600.0,21057600.0,35270600.0,236720000.0,5371300.0,6727100.0,,56162300.0,,,214553300.0,11043200.0,,,24646200.0,4107300000.0,0.0,0.0
2015-01-14,9989900.0,5603200.0,20984000.0,1864900.0,4090200.0,272900.0,2207900.0,,0.0,52800000.0,7415500.0,1545800.0,,34224200.0,8887700.0,13447600.0,7745500.0,25918600.0,18710400.0,29719600.0,155260000.0,5127800.0,6418200.0,,51354200.0,,,192991100.0,21760200.0,,,35862900.0,4378680000.0,0.0,0.0
2015-01-15,17744000.0,7048000.0,18372000.0,1451500.0,2626300.0,155800.0,1819600.0,,0.0,51068000.0,7061300.0,1374100.0,,46199400.0,10834800.0,11193100.0,5737500.0,34134000.0,12778800.0,32750800.0,188932000.0,4424000.0,6768200.0,,51005400.0,,,176613900.0,36350200.0,,,28238100.0,4276720000.0,0.0,0.0
